"Time","Force","Position","Speed","Acceleration"
49.86,50,1.00000270076709,-8.75563521518468e-06,3.01306446430214e-06
49.87,50,1.00000261336258,-8.72521816043858e-06,3.04170547460807e-06
49.88,50,1.00000252626367,-8.69451764111669e-06,3.07005193219009e-06
49.89,50,1.00000243947316,-8.66353660219188e-06,3.09810389248071e-06
49.9,50,1.00000235299386,-8.63227798794093e-06,3.12586142509584e-06
49.91,50,1.00000226682851,-8.60074474180017e-06,3.15332461407499e-06
49.92,50,1.00000218097987,-8.56893980622245e-06,3.18049355777252e-06
49.93,50,1.00000209545061,-8.53686612253607e-06,3.20736836863856e-06
49.94,50,1.00000201024343,-8.50452663080251e-06,3.23394917335673e-06
49.95,50,1.00000192536095,-8.47192426967672e-06,3.26023611257744e-06
49.96,50,1.00000184080581,-8.4390619762683e-06,3.28622934084183e-06
49.97,50,1.00000175658057,-8.40594268600139e-06,3.31192902669169e-06
49.98,50,1.0000016726878,-8.37256933247827e-06,3.33733535231069e-06
49.99,50,1.00000158913002,-8.33894484734122e-06,3.36244851370615e-06
50,50,1.00000150590972,-8.30507216013568e-06,3.38726872055396e-06
50.01,50,1.00000142302939,-8.27095419817462e-06,3.41179619610678e-06
50.02,50,1.00000134049145,-8.23659388640399e-06,3.43603117706127e-06
50.03,50,1.00000125829831,-8.20199414726965e-06,3.45997391343502e-06
50.04,50,1.00000117645235,-8.16715790058238e-06,3.48362466872755e-06
50.05,50,1.00000109495592,-8.13208806338545e-06,3.50698371969109e-06
50.06,50,1.00000101381135,-8.09678754982541e-06,3.53005135600499e-06
50.07,50,1.00000093302093,-8.06125927101867e-06,3.55282788067477e-06
50.08,50,1.00000085258692,-8.02550613492196e-06,3.57531360967145e-06
50.09,50,1.00000077251154,-7.9895310462029e-06,3.59750887190452e-06
50.1,50,1.00000069279702,-7.95333690611264e-06,3.61941400902646e-06
50.11,50,1.00000061344552,-7.91692661235787e-06,3.64102937547764e-06
50.12,50,1.0000005344592,-7.88030305897305e-06,3.66235533848019e-06
50.13,50,1.00000045584016,-7.84346913619443e-06,3.68339227786282e-06
50.14,50,1.0000003775905,-7.80642773033568e-06,3.70414058587565e-06
50.15,50,1.00000029971229,-7.76918172366281e-06,3.72460066728748e-06
50.16,50,1.00000022220754,-7.73173399427153e-06,3.74477293912589e-06
50.17,50,1.00000014507827,-7.69408741596393e-06,3.76465783076139e-06
50.18,50,1.00000006832644,-7.65624485812595e-06,3.78425578379814e-06
50.19,50,0.999999991954012,-7.61820918560733e-06,3.80356725186307e-06
50.2,50,0.999999915962891,-7.57998325860113e-06,3.82259270061812e-06
50.21,50,0.999999840354969,-7.5415699325239e-06,3.84133260772356e-06
50.22,50,0.999999765132105,-7.50297205789673e-06,3.85978746271768e-06
50.23,50,0.999999690296131,-7.46419248022828e-06,3.87795776684275e-06
50.24,50,0.999999615848849,-7.42523403989747e-06,3.89584403308241e-06
50.25,50,0.999999541792035,-7.38609957203761e-06,3.91344678598631e-06
50.26,50,0.999999468127433,-7.34679190642243e-06,3.93076656151934e-06
50.27,50,0.999999394856762,-7.30731386734899e-06,3.94780390734217e-06
50.28,50,0.999999321981712,-7.26766827352508e-06,3.96455938239161e-06
50.29,50,0.999999249503943,-7.2278579379574e-06,3.98103355676902e-06
50.3,50,0.99999917742509,-7.18788566783973e-06,3.99722701176401e-06
50.31,50,0.999999105746758,-7.14775426444113e-06,4.01314033986119e-06
50.32,50,0.999999034470524,-7.10746652299627e-06,4.02877414448644e-06
50.33,50,0.999998963597937,-7.06702523259509e-06,4.04412904011892e-06
50.34,50,0.999998893130519,-7.0264331760751e-06,4.05920565199711e-06
50.35,50,0.999998823069765,-6.98569312991492e-06,4.07400461601914e-06
50.36,50,0.999998753417139,-6.94480786412582e-06,4.08852657891075e-06
50.37,50,0.99999868417408,-6.90378014214662e-06,4.10277219791798e-06
50.38,50,0.999998615341999,-6.86261272073827e-06,4.11674214083535e-06
50.39,50,0.99999854692228,-6.82130834987966e-06,4.1304370858623e-06
50.4,50,0.999998478916277,-6.77986977266422e-06,4.14385772154475e-06
50.41,50,0.99999841132532,-6.73829972519833e-06,4.15700474658681e-06
50.42,50,0.99999834415071,-6.69660093649843e-06,4.16987886999068e-06
50.43,50,0.999998277393719,-6.65477612839127e-06,4.18248081071728e-06
50.44,50,0.999998211055596,-6.61282801541421e-06,4.19481129770638e-06
50.45,50,0.999998145137559,-6.57075930471485e-06,4.20687106993441e-06
50.46,50,0.9999980796408,-6.5285726959535e-06,4.2186608761352e-06
50.47,50,0.999998014566487,-6.48627088120699e-06,4.23018147465236e-06
50.48,50,0.999997949915756,-6.44385654487041e-06,4.24143363365554e-06
50.49,50,0.99999788568972,-6.40133236356234e-06,4.25241813080764e-06
50.5,50,0.999997821889463,-6.35870100603066e-06,4.26313575316931e-06
50.51,50,0.999997758516046,-6.31596513305783e-06,4.27358729728345e-06
50.52,50,0.999997695570498,-6.27312739736822e-06,4.28377356895934e-06
50.53,50,0.999997633053826,-6.23019044353706e-06,4.29369538311627e-06
50.54,50,0.999997570967009,-6.1871569078975e-06,4.30335356395672e-06
50.55,50,0.999997509310999,-6.14402941845085e-06,4.312748944663e-06
50.56,50,0.999997448086723,-6.10081059477673e-06,4.32188236741291e-06
50.57,50,0.999997387295081,-6.05750304794623e-06,4.33075468305135e-06
50.58,50,0.999997326936947,-6.01410938043183e-06,4.33936675144036e-06
50.59,50,0.999997267013169,-5.97063218602072e-06,4.34771944110926e-06
50.6,50,0.999997207524571,-5.92707404973139e-06,4.35581362893344e-06
50.61,50,0.999997148471948,-5.88343754772479e-06,4.36365020066074e-06
50.62,50,0.99999708985607,-5.83972524722151e-06,4.3712300503262e-06
50.63,50,0.999997031677685,-5.79593970642018e-06,4.37855408013391e-06
50.64,50,0.99999697393751,-5.75208347441185e-06,4.38562320083335e-06
50.65,50,0.99999691663624,-5.70815909109934e-06,4.39243833125179e-06
50.66,50,0.999996859774545,-5.66416908711822e-06,4.39900039811027e-06
50.67,50,0.999996803353067,-5.62011598375427e-06,4.40531033639568e-06
50.68,50,0.999996747372425,-5.57600229286525e-06,4.41136908890313e-06
50.69,50,0.999996691833212,-5.53183051680312e-06,4.41717760621315e-06
50.7,50,0.999996636735998,-5.48760314833629e-06,4.42273684668074e-06
50.71,50,0.999996582081324,-5.44332267057317e-06,4.42804777631312e-06
50.72,50,0.999996527869711,-5.3989915568864e-06,4.43311136867808e-06
50.73,50,0.999996474101652,-5.35461227083784e-06,4.43792860485406e-06
50.74,50,0.999996420777616,-5.31018726610545e-06,4.44250047323904e-06
50.75,50,0.999996367898049,-5.26571898640903e-06,4.44682796964342e-06
50.76,50,0.99999631546337,-5.22120986543896e-06,4.45091209700778e-06
50.77,50,0.999996263473977,-5.17666232678498e-06,4.45475386539565e-06
50.78,50,0.999996211930242,-5.13207878386443e-06,4.45835429205585e-06
50.79,50,0.999996160832512,-5.08746163985345e-06,4.4617144010988e-06
50.8,50,0.999996110181111,-5.04281328761847e-06,4.46483522349581e-06
50.81,50,0.99999605997634,-4.99813610964722e-06,4.46771779712553e-06
50.82,50,0.999996010218475,-4.95343247798284e-06,4.47036316643918e-06
50.83,50,0.999995960907769,-4.90870475415801e-06,4.47277238248374e-06
50.84,50,0.999995912044451,-4.86395528912778e-06,4.47494650302153e-06
50.85,50,0.999995863628726,-4.81918642320696e-06,4.47688659208252e-06
50.86,50,0.999995815660777,-4.77440048600471e-06,4.47859372022542e-06
50.87,50,0.999995768140763,-4.72959979636324e-06,4.48006896414472e-06
50.88,50,0.999995721068821,-4.68478666229502e-06,4.48131340682277e-06
50.89,50,0.999995674445062,-4.63996338092187e-06,4.48232813731634e-06
50.9,50,0.999995628269577,-4.59513223841577e-06,4.48311425061091e-06
50.91,50,0.999995582542434,-4.55029550993711e-06,4.48367284786398e-06
50.92,50,0.999995537263676,-4.50545545957764e-06,4.48400503594772e-06
50.93,50,0.999995492433327,-4.46061434030308e-06,4.48411192745718e-06
50.94,50,0.999995448051384,-4.41577439389585e-06,4.48399464072376e-06
50.95,50,0.999995404117826,-4.37093785089851e-06,4.48365429973158e-06
50.96,50,0.999995360632606,-4.32610693055878e-06,4.48309203397415e-06
50.97,50,0.999995317595654,-4.28128395636529e-06,4.48229741934929e-06
50.98,50,0.999995275006892,-4.23647082168544e-06,4.48131346798256e-06
50.99,50,0.999995232866187,-4.19167015195316e-06,4.48006697322966e-06
