Time,Force,Position,Speed,Acceleration
62.32,50.0,0.9999994722344256,1.767846961543817e-07,1.7549043911761153e-07
62.33,50.0,0.9999994740210194,1.785205976106582e-07,1.7372919150412183e-07
62.34,50.0,0.9999994758247853,1.8023888561411668e-07,1.7196816456073082e-07
62.35,50.0,0.9999994776455471,1.819395633050718e-07,1.7020744482458025e-07
62.36,50.0,0.999999479483129,1.8362263468581965e-07,1.6844711818865865e-07
62.370000000000005,50.0,0.9999994813373545,1.8528810461399882e-07,1.6668727047355443e-07
62.38,50.0,0.9999994832080479,1.8693597879862226e-07,1.6492798664784323e-07
62.39,50.0,0.999999485095033,1.8856626379649816e-07,1.6316935161147451e-07
62.4,50.0,0.9999994869981341,1.9017896700694076e-07,1.6141144941681904e-07
62.410000000000004,50.0,0.9999994889171754,1.9177409666640104e-07,1.5965436398189624e-07
62.42,50.0,0.9999994908519811,1.933516618453064e-07,1.578981785235203e-07
62.43,50.0,0.9999994928023759,1.949116724421973e-07,1.5614297584444882e-07
62.440000000000005,50.0,0.9999994947681838,1.9645413918020218e-07,1.5438883847725403e-07
62.45,50.0,0.9999994967492298,1.9797907360061852e-07,1.5263584826120648e-07
62.46,50.0,0.9999994987453384,1.994864880603419e-07,1.5088408676988634e-07
62.47,50.0,0.9999995007563347,2.0097639572642519e-07,1.4913363481652355e-07
62.480000000000004,50.0,0.9999995027820436,2.024488105703017e-07,1.473845728832123e-07
62.49,50.0,0.9999995048222903,2.0390374736358318e-07,1.45636981194066e-07
62.5,50.0,0.9999995068769001,2.053412216736859e-07,1.438909391489702e-07
62.51,50.0,0.9999995089456983,2.0676124985956883e-07,1.4214652589414765e-07
62.52,50.0,0.9999995110285109,2.0816384906625872e-07,1.4040381996962437e-07
62.53,50.0,0.9999995131251637,2.0954903721804856e-07,1.386628995257933e-07
62.54,50.0,0.9999995152354826,2.1091683301739923e-07,1.369238421818548e-07
62.550000000000004,50.0,0.9999995173592938,2.122672559374737e-07,1.35186725100604e-07
62.56,50.0,0.9999995194964236,2.1360032621958328e-07,1.3345162506076184e-07
62.57,50.0,0.999999521646699,2.149160648653695e-07,1.3171861803455847e-07
62.58,50.0,0.9999995238099467,2.162144936332586e-07,1.2998777982899456e-07
62.59,50.0,0.9999995259859936,2.1749563503475408e-07,1.282591856613693e-07
62.6,50.0,0.9999995281746672,2.1875951232914812e-07,1.2653291023297898e-07
62.61,50.0,0.9999995303757949,2.2000614951586043e-07,1.2480902780400186e-07
62.620000000000005,50.0,0.9999995325892047,2.2123557133370278e-07,1.230876119807031e-07
62.63,50.0,0.9999995348147245,2.2244780325295028e-07,1.2136873614572471e-07
62.64,50.0,0.9999995370521827,2.2364287147106297e-07,1.196524728917906e-07
62.65,50.0,0.9999995393014078,2.2482080290741175e-07,1.1793889466383209e-07
62.660000000000004,50.0,0.9999995415622288,2.2598162520004092e-07,1.1622807297900956e-07
62.67,50.0,0.9999995438344749,2.2712536669908662e-07,1.1452007921160036e-07
62.68,50.0,0.9999995461179754,2.2825205646140846e-07,1.1281498409830298e-07
62.690000000000005,50.0,0.99999954841256,2.2936172424725367e-07,1.1111285788201351e-07
62.7,50.0,0.9999995507180588,2.304544005137956e-07,1.0941377031505651e-07
62.71,50.0,0.9999995530343023,2.315301164109798e-07,1.0771779066126183e-07
62.72,50.0,0.9999995553611212,2.3258890377570625e-07,1.0602498755676506e-07
62.730000000000004,50.0,0.9999995576983463,2.3363079512694788e-07,1.0433542929666526e-07
62.74,50.0,0.9999995600458088,2.3465582366222738e-07,1.026491837657324e-07
62.75,50.0,0.9999995624033409,2.356640232506532e-07,1.0096631794450932e-07
62.76,50.0,0.9999995647707742,2.3665542842734672e-07,9.928689869369524e-08
62.77,50.0,0.9999995671479411,2.3763007439076652e-07,9.761099225810372e-08
62.78,50.0,0.9999995695346744,2.3858799699669197e-07,9.593866434072506e-08
62.79,50.0,0.9999995719308074,2.395292327520812e-07,9.426997996368884e-08
62.800000000000004,50.0,0.9999995743361733,2.404538188102379e-07,9.260500396806036e-08
62.81,50.0,0.999999576750606,2.413617929664012e-07,9.094380051866588e-08
62.82,50.0,0.9999995791739397,2.4225319365421895e-07,8.928643331901875e-08
62.83,50.0,0.9999995816060091,2.4312805993672424e-07,8.763296547372257e-08
62.84,50.0,0.9999995840466492,2.4398643150433133e-07,8.598345963158187e-08
62.85,50.0,0.9999995864956955,2.4482834866693536e-07,8.433797791849785e-08
62.86,50.0,0.999999588952984,2.456538523525991e-07,8.269658179601655e-08
62.870000000000005,50.0,0.9999995914183506,2.464629840988363e-07,8.105933263412141e-08
62.88,50.0,0.9999995938916322,2.472557860500828e-07,7.94262908598462e-08
62.89,50.0,0.9999995963726657,2.480323009498643e-07,7.779751667173424e-08
62.9,50.0,0.9999995988612889,2.487925721391662e-07,7.61730694722189e-08
62.910000000000004,50.0,0.9999996013573396,2.4953664354816753e-07,7.455300844019112e-08
62.92,50.0,0.9999996038606563,2.5026455969193273e-07,7.29373919647192e-08
62.93,50.0,0.9999996063710779,2.5097636566587514e-07,7.132627821575126e-08
62.940000000000005,50.0,0.9999996088884437,2.516721071408535e-07,6.971972457813277e-08
62.95,50.0,0.9999996114125935,2.5235183035565264e-07,6.81177880816919e-08
62.96,50.0,0.9999996139433677,2.5301558211558425e-07,6.652052511772207e-08
62.97,50.0,0.9999996164806068,2.5366340978459697e-07,6.492799172714387e-08
62.980000000000004,50.0,0.9999996190241519,2.5429536128071927e-07,6.334024338962097e-08
62.99,50.0,0.999999621573845,2.5491148507113683e-07,6.175733495496698e-08
63.0,50.0,0.9999996241295284,2.555118301665688e-07,6.017932071701176e-08
63.01,50.0,0.9999996266910445,2.5609644611602376e-07,5.8606254700440354e-08
63.02,50.0,0.9999996292582367,2.566653830021923e-07,5.7038190165717e-08
63.03,50.0,0.9999996318309486,2.572186914367788e-07,5.547517996669041e-08
63.04,50.0,0.9999996344090244,2.577564225531504e-07,5.3917276554269443e-08
63.050000000000004,50.0,0.9999996369923089,2.5827862800410997e-07,5.236453155121084e-08
63.06,50.0,0.9999996395806473,2.5878535995417394e-07,5.0816996395468834e-08
63.07,50.0,0.9999996421738855,2.5927667107521464e-07,4.927472170288557e-08
63.08,50.0,0.9999996447718696,2.597526145418004e-07,4.773775790900945e-08
