Time,Desired_Position,Position,Speed,Acceleration,Control_Input,Error
17.05,1.0,0.9921661107240541,0.0018586917002562763,-0.0005064364150469292,49.65059647971083,0.00783388927594586
17.06,1.0,0.9921846697307143,0.0018535909482664222,-0.0005061045266806978,49.651302581280966,0.007815330269285714
17.07,1.0,0.9922031777466606,0.00184849364052621,-0.0005057427300216067,49.65200929635718,0.0077968222533394416
17.080000000000002,1.0,0.992221634807952,0.0018434000752318002,-0.0005053513091598427,49.65271661324321,0.007778365192047998
17.09,1.0,0.9922400409536145,0.0018383105477379222,-0.00050493055144444,49.65342451992318,0.0077599590463854895
17.1,1.0,0.9922583962256123,0.0018332253505253927,-0.0005044807474874331,49.65413300405814,0.007741603774387706
17.11,1.0,0.9922767006688191,0.0018281447731687114,-0.0005040021910756042,49.65484205299183,0.007723299331180877
17.12,1.0,0.9922949543309886,0.001823069102304445,-0.0005034951789838618,49.65555165376627,0.007705045669011423
17.13,1.0,0.9923131572627258,0.0018179986216015204,-0.0005029600110710189,49.656261793109266,0.007686842737274158
17.14,1.0,0.992331309517456,0.0018129336117305385,-0.000502396989832794,49.656972457476044,0.007668690482544038
17.150000000000002,1.0,0.9923494111513954,0.0018078743503375687,-0.0005018064206748455,49.65768363301916,0.007650588848604589
17.16,1.0,0.9923674622235208,0.0018028211120152075,-0.0005011886115384802,49.65839530562295,0.007632537776479209
17.17,1.0,0.9923854627955381,0.001797774168277375,-0.0005005438728803089,49.65910746090274,0.007614537204461924
17.18,1.0,0.9924034129318523,0.0017927337875343035,-0.0004998725176483706,49.65982008420449,0.007596587068147698
17.19,1.0,0.9924213126995358,0.0017877002350677952,-0.0004991748610498482,49.66053316062519,0.007578687300464182
17.2,1.0,0.9924391621682973,0.001782673773008767,-0.0004984512205635028,49.661246675008954,0.007560837831702694
17.21,1.0,0.9924569614104495,0.0017776546603146702,-0.0004977019157168543,49.66196061196652,0.007543038589550521
17.22,1.0,0.9924747105008782,0.0017726431527491653,-0.0004969272681668272,49.66267495586469,0.00752528949912179
17.23,1.0,0.9924924095170098,0.0017676395028609687,-0.0004961276014208713,49.66338969085145,0.007507590482990212
17.240000000000002,1.0,0.9925100585387786,0.0017626439599654638,-0.0004953032408129186,49.66410480085591,0.007489941461221394
17.25,1.0,0.9925276576485953,0.00175765677012662,-0.0004944545134661332,49.664820269589484,0.007472342351404704
17.26,1.0,0.9925452069313135,0.0017526781761391815,-0.000493581748079228,49.66553608056471,0.0074547930686864605
17.27,1.0,0.9925627064741973,0.0017477084175130915,-0.0004926852748998466,49.66625221709553,0.007437293525802691
17.28,1.0,0.9925801563668882,0.0017427477304580998,-0.0004917654256489397,49.66696866230242,0.007419843633111767
17.29,1.0,0.992597556701373,0.001737796347869198,-0.0004908225334532999,49.66768539911678,0.007402443298627048
17.3,1.0,0.9926149075719485,0.0017328544993126529,-0.0004898569325538639,49.66840241030767,0.007385092428051521
17.31,1.0,0.9926322090751903,0.0017279224110150011,-0.0004888689585196956,49.669119678458294,0.0073677909248096585
17.32,1.0,0.9926494613099179,0.001723000305849898,-0.00048785894787818266,49.66983718600057,0.007350538690082065
17.330000000000002,1.0,0.9926666643771618,0.0017180884033286528,-0.0004868272382379869,49.670554915200725,0.007333335622838222
17.34,1.0,0.99268381838013,0.0017131869195895438,-0.00048577416812603383,49.67127284817337,0.007316181619870021
17.35,1.0,0.992700923424173,0.0017082960673887263,-0.00048470007673974706,49.67199096690411,0.007299076575826957
17.36,1.0,0.9927179796167513,0.0017034160560936735,-0.00048360530414620265,49.67270925322763,0.007282020383248655
17.37,1.0,0.9927349870674012,0.0016985470916745715,-0.00048249019104817936,49.67342768884897,0.007265012932598847
17.38,1.0,0.9927519458876997,0.0016936893766980913,-0.00048135507861520337,49.674146255358366,0.0072480541123003395
17.39,1.0,0.992768856191232,0.001688843110322806,-0.00048020030859807094,49.674864934217936,0.0072311438087679925
17.400000000000002,1.0,0.9927857180935563,0.0016840084882935144,-0.0004790262230577795,49.67558370678671,0.007214281906443687
17.41,1.0,0.9928025317121701,0.0016791857029382152,-0.0004778331644286749,49.67630255431255,0.007197468287829856
17.42,1.0,0.9928192971664758,0.0016743749431644968,-0.000476621475316841,49.67702145795033,0.007180702833524233
17.43,1.0,0.9928360145777466,0.0016695763944579087,-0.000475391498552719,49.677740398754956,0.007163985422253383
17.44,1.0,0.9928526840690923,0.0016647902388798265,-0.00047414357695889917,49.67845935770272,0.007147315930907672
17.45,1.0,0.9928693057654249,0.0016600166550676124,-0.0004728780533949668,49.67917831568513,0.00713069423457513
17.46,1.0,0.9928858797934242,0.0016552558182343412,-0.00047159527062626884,49.6798972535203,0.007114120206575758
17.47,1.0,0.9929024062815043,0.0016505079001698697,-0.00047029557126881336,49.680616151956826,0.0070975937184957205
17.48,1.0,0.9929188853597786,0.0016457730692423596,-0.0004689792977143589,49.68133499167961,0.007081114640221431
17.490000000000002,1.0,0.9929353171600255,0.0016410514904006625,-0.0004676467919727291,49.682053753324034,0.007064682839974523
17.5,1.0,0.9929517018156552,0.001636343325178191,-0.00046629839579361606,49.68277241746231,0.007048298184344826
17.51,1.0,0.9929680394616742,0.0016316487316956215,-0.00046493445034278923,49.68349096463421,0.007031960538325777
17.52,1.0,0.9929843302346529,0.0016269678646668039,-0.00046355529641522677,49.684209375324464,0.007015669765347066
17.53,1.0,0.9930005742726896,0.0016223008754025637,-0.0004621612740349218,49.68492763000112,0.006999425727310382
17.54,1.0,0.9930167717153777,0.0016176479118184758,-0.0004607527226827322,49.68564570909154,0.006983228284622278
17.55,1.0,0.993032922703772,0.0016130091184403826,-0.00045932998111183996,49.686363592999435,0.00696707729622803
17.56,1.0,0.9930490273803537,0.0016083846364117337,-0.0004578933872047658,49.68708126211779,0.0069509726196462784
17.57,1.0,0.9930650858889982,0.0016037746035023703,-0.00045644327808057604,49.68779869681697,0.006934914111001778
17.580000000000002,1.0,0.9930810983749396,0.001599179154116236,-0.00045497998980642177,49.68851587747215,0.00691890162506037
17.59,1.0,0.9930970649847385,0.0015945984193019578,-0.0004535038575655424,49.689232784445466,0.006902935015261513
17.6,1.0,0.9931129858662476,0.0015900325267617426,-0.0004520152154278759,49.68994939810768,0.006887014133752367
17.61,1.0,0.9931288611685789,0.0015854816008625935,-0.00045051439636241517,49.690665698835836,0.0068711388314210975
17.62,1.0,0.9931446910420704,0.0015809457626473572,-0.00044900173221310377,49.691381667014575,0.006855308957929629
17.63,1.0,0.9931604756382522,0.0015764251298460632,-0.0004474775534908444,49.69209728305583,0.00683952436174784
17.64,1.0,0.9931762151098142,0.0015719198168892853,-0.0004459421894955011,49.69281252738563,0.006823784890185758
17.650000000000002,1.0,0.993191909610573,0.0015674299349203264,-0.00044439596813035804,49.69352738046163,0.0068080903894269795
17.66,1.0,0.9932075592954387,0.0015629555918092316,-0.000442839215905929,49.6942418227718,0.006792440704561309
17.67,1.0,0.9932231643203826,0.001558496892166768,-0.00044127225786985274,49.694955834840485,0.006776835679617399
17.68,1.0,0.9932387248424045,0.001554053937359111,-0.00043969541753188514,49.695669397234994,0.006761275157595503
17.69,1.0,0.9932542410195006,0.0015496268255232601,-0.00043810901686677436,49.69638249056451,0.00674575898049945
17.7,1.0,0.9932697130106312,0.0015452156515824433,-0.00043651337623236473,49.69709509548744,0.006730286989368839
17.71,1.0,0.9932851409756884,0.0015408205072623298,-0.0004349088142591126,49.697807192721626,0.00671485902431157
17.72,1.0,0.9933005250754644,0.0015364414811083519,-0.00043329564787040044,49.6985187630416,0.006699474924535598
17.73,1.0,0.9933158654716198,0.0015320786585028077,-0.0004316741922523641,49.69922978728089,0.006684134528380237
17.740000000000002,1.0,0.9933311623266519,0.0015277321216822831,-0.00043004476072944746,49.699940246343765,0.006668837673348138
17.75,1.0,0.9933464158038635,0.001523401949756303,-0.00042840766477074394,49.700650121203914,0.006653584196136486
17.76,1.0,0.9933616260673318,0.0015190882187259053,-0.00042676321392623977,49.70135939291026,0.006638373932668196
17.77,1.0,0.9933767932818774,0.0015147910015029062,-0.0004251117158237992,49.70206804258664,0.006623206718122554
17.78,1.0,0.9933919176130329,0.0015105103679291056,-0.00042345347597306474,49.7027760514508,0.006608082386967085
17.79,1.0,0.9934069992270134,0.0015062463847975384,-0.0004217887979920165,49.70348340079134,0.006593000772986635
