"Time","Position","Speed","Control_Input","Desired_Position"
5.73,0.864295949070379,-0.0682314599902717,58.7406554690819,1
5.74,0.863623101216086,-0.0663391270971721,58.7569870697137,1
5.75,0.862969152737239,-0.0644515966484685,58.7702897947567,1
5.76,0.862334053764775,-0.0625692372193797,58.7806011596955,1
5.77,0.86171775077317,-0.060692411528489,58.787958863479,1
5.78,0.861120186639038,-0.0588214764316302,58.7924007778221,1
5.79,0.860541300699782,-0.0569567829171548,58.7939649365972,1
5.8,0.859981028812285,-0.0550986761025622,58.7926895253397,1
5.81,0.859439303411631,-0.0532474952324785,58.7886128708383,1
5.82,0.858916053569834,-0.0514035736779639,58.7817734308409,1
5.83,0.858411205054575,-0.0495672389371367,58.7722097838416,1
5.84,0.857924680387917,-0.0477388126370921,58.7599606189944,1
5.85,0.857456398905005,-0.045918610537102,58.7450647261126,1
5.86,0.857006276812719,-0.0441069425330781,58.7275609857829,1
5.87,0.856574227248278,-0.0423041126632811,58.7074883595783,1
5.88,0.856160160337787,-0.0405104191152584,58.6848858803843,1
5.89,0.855763983254697,-0.0387261542339942,58.6597926428244,1
5.9,0.855385600278189,-0.0369516045312542,58.6322477938011,1
5.91,0.855024912851453,-0.0351870506961072,58.6022905231408,1
5.92,0.854681819639854,-0.0334327676066072,58.5699600543463,1
5.93,0.854356216588983,-0.0316890243426181,58.535295635468,1
5.94,0.854047996982564,-0.0299560841997642,58.4983365300747,1
5.95,0.853757051500226,-0.0282342047044873,58.459122008344,1
5.96,0.85348326827511,-0.0265236376301963,58.417691338259,1
5.97,0.853226532951316,-0.0248246290144881,58.3740837769221,1
5.98,0.852986728741171,-0.0231374191774253,58.3283385619765,1
5.99,0.852763736482306,-0.0214622427408512,58.2804949031476,1
6,0.852557434694534,-0.0197993286487264,58.2305919738895,1
6.01,0.852367699636529,-0.0181489001884672,58.1786689031545,1
6.02,0.852194405362275,-0.016511175013271,58.1247647672701,1
6.03,0.852037423777292,-0.0148863651654092,58.0689185819371,1
6.04,0.851896624694626,-0.0132746771004711,58.0111692943335,1
6.05,0.851771875890589,-0.0116763117125406,57.9515557753467,1
6.06,0.851663043160245,-0.0100914643602889,57.8901168119136,1
6.07,0.851569990372628,-0.00852032489396557,57.8268910994723,1
6.08,0.851492579525687,-0.00696307768327078,57.7619172345432,1
6.09,0.851430670800948,-0.00541990164609054,57.6952337074115,1
6.1,0.851384122617884,-0.00389097027807833,57.6268788949397,1
6.11,0.851352791687988,-0.0023764516830656,57.5568910534874,1
6.12,0.851336533068531,-0.000876508604283951,57.4853083119493,1
6.13,0.851335200216011,0.000608701543618651,57.4121686649147,1
6.14,0.851348645039274,0.00207902664178443,57.3375099659389,1
6.15,0.851376717952305,0.0035343198335925,57.2613699209338,1
6.16,0.851419267926677,0.00497443949036294,57.1837860816766,1
6.17,0.851476142543657,0.00639924917633455,57.1047958394272,1
6.18,0.851547188045957,0.00780861761293438,57.024436418674,1
6.19,0.851632249389123,0.00920241864235558,56.9427448709913,1
6.2,0.851731170292557,0.0105805311904599,56.8597580690089,1
6.21,0.851843793290163,0.0119428392290223,56.7755127005014,1
6.22,0.851969959780622,0.0132892317373342,56.6900452625999,1
6.23,0.85210951007726,0.0146196026631826,56.603392056106,1
6.24,0.852262283457546,0.01593385088322,56.5155891799364,1
6.25,0.852428118212174,0.017231880162744,56.4266725256699,1
6.26,0.852606851693746,0.0185135991149015,56.3366777722228,1
6.27,0.852798320365044,0.0197789211593337,56.2456403806241,1
6.28,0.853002359846886,0.0210277644802795,56.1535955889208,1
6.29,0.85321880496556,0.0222600519841523,56.0605784071872,1
6.3,0.85344748979983,0.0234757112566067,55.9666236126493,1
6.31,0.853688247727514,0.0246746745191114,55.8717657449306,1
6.32,0.853940911471617,0.0258568785850438,55.7760391013999,1
6.33,0.854205313146036,0.0270222648153225,55.6794777326426,1
6.34,0.854481284300804,0.0281707790735932,55.5821154380352,1
6.35,0.854768655966896,0.0293023716809834,55.4839857614373,1
6.36,0.855067258700573,0.0304169973704422,55.3851219869966,1
6.37,0.855376922627272,0.03151461524068,55.2855571350581,1
6.38,0.855697477485027,0.0325951887097234,55.1853239581929,1
6.39,0.856028752667436,0.0336586854681007,55.0844549373263,1
6.4,0.85637057726614,0.0347050774316735,54.9829822779863,1
6.41,0.856722780112848,0.0357343406941281,54.8809379066516,1
6.42,0.85708518982087,0.0367464554791437,54.7783534672182,1
6.43,0.857457634826179,0.0377414060922493,54.6752603175596,1
6.44,0.857839943427988,0.0387191808723872,54.5716895262123,1
6.45,0.858231943828836,0.0396797721431942,54.4676718691461,1
6.46,0.858633464174195,0.0406231761640188,54.3632378266668,1
6.47,0.85904433259158,0.0415493930806839,54.258417580393,1
6.48,0.859464377229162,0.042458426876014,54.1532410103693,1
6.49,0.859893426293897,0.043350285320137,54.0477376922553,1
6.5,0.860331308089143,0.0442249799205777,53.9419368946401,1
6.51,0.860777851051784,0.0450825258721537,53.8358675764443,1
6.52,0.861232883788856,0.0459229420066896,53.7295583844311,1
6.53,0.86169623511366,0.0467462507425624,53.6230376508139,1
6.54,0.862167734081377,0.0475524780340907,53.5163333909731,1
6.55,0.862647210024174,0.0483416533207818,53.4094733012565,1
6.56,0.863134492585797,0.0491138094764498,53.3024847568974,1
6.57,0.863629411755664,0.0498689827582164,53.1953948100124,1
6.58,0.864131797902443,0.0506072127554094,53.0882301877133,1
6.59,0.864641481807111,0.0513285423383694,52.9810172903008,1
6.6,0.865158294695517,0.0520330176071782,52.873782189563,1
6.61,0.865682068270414,0.0527206878403221,52.7665506271637,1
6.62,0.866212634742994,0.0533916054433003,52.6593480131281,1
6.63,0.866749826863893,0.0540458258971927,52.5521994244205,1
6.64,0.867293477953698,0.0546834077071972,52.445129603607,1
6.65,0.867843421932921,0.05530441235115,52.3381629576238,1
6.66,0.868399493351477,0.055908904228039,52.2313235566227,1
6.67,0.868961527417631,0.0564969506065232,52.1246351329121,1
6.68,0.869529360026443,0.0570686215734679,52.0181210799846,1
6.69,0.870102827787687,0.0576239899825093,51.9118044516382,1
6.7,0.870681768053267,0.0581631314026562,51.805707961167,1
6.71,0.871266018944111,0.0586861240669437,51.6998539806641,1
6.72,0.871855419376555,0.059193048821146,51.5942645403866,1
6.73,0.872449809088214,0.0596839890725613,51.4889613282144,1
6.74,0.873049028663342,0.0601590307388784,51.3839656891869,1
6.75,0.873652919557681,0.0606182621971355,51.2792986251369,1
6.76,0.874261324122799,0.061061774232781,51.174980794378,1
6.77,0.874874085629921,0.0614896599888472,51.0710325115009,1
6.78,0.875491048293249,0.0619020149152454,50.967473747227,1
6.79,0.876112057292778,0.0622989367181939,50.8643241283579,1
6.8,0.876736958796612,0.0626805253097868,50.7616029377846,1
6.81,0.877365599982762,0.0630468827577134,50.6593291145847,1
6.82,0.877997829060459,0.0633981132351387,50.5575212541946,1
6.83,0.878633495290957,0.0637343229707522,50.4561976086484,1
6.84,0.879272449007838,0.0640556201989959,50.3553760868973,1
6.85,0.879914541636819,0.0643621151104781,50.2550742551978,1
6.86,0.880559625715075,0.0646539198025834,50.1553093375678,1
6.87,0.88120755491005,0.0649311482302872,50.0560982163241,1
6.88,0.881858184037795,0.0651939161571822,49.9574574326786,1
6.89,0.882511369080811,0.0654423411067254,49.8594031874009,1
6.9,0.883166967205398,0.0656765423137139,49.7619513415591,1
6.91,0.883824836778535,0.065896640675998,49.66511741732,1
6.92,0.884484837384264,0.0661027587064368,49.5689165988108,1
6.93,0.885146829839603,0.0662950204851076,49.4733637330546,1
6.94,0.885810676209983,0.0664735516117732,49.3784733309584,1
6.95,0.886476239824205,0.0666384791586164,49.2842595683708,1
6.96,0.887143385288929,0.0667899316232477,49.1907362871987,1
6.97,0.887811978502698,0.0669280388819943,49.0979169965846,1
6.98,0.888481886669489,0.0670529321434751,49.0058148741348,1
6.99,0.889152978311807,0.0671647439024718,48.9144427672199,1
7,0.889825123283319,0.0672636078940988,48.8238131943246,1
7.01,0.890498192781025,0.067349659048281,48.7339383464475,1
7.02,0.891172059356985,0.0674230334445446,48.6448300885691,1
7.03,0.891846596929588,0.0674838682671265,48.5564999611584,1
7.04,0.892521680794374,0.0675323017604103,48.4689591817517,1
7.05,0.893197187634419,0.0675684731846919,48.3822186465613,1
7.06,0.89387299553027,0.0675925227722818,48.2962889321498,1
7.07,0.89454898396945,0.0676045916839501,48.2111802971499,1
7.08,0.895225033855527,0.0676048219657183,48.1269026840351,1
7.09,0.895901027516747,0.0675933565060039,48.043465720933,1
7.1,0.896576848714253,0.0675703389931224,47.9608787234911,1
7.11,0.897252382649866,0.0675359138731517,47.8791506967798,1
7.12,0.897927515973458,0.0674902263081644,47.7982903372583,1
7.13,0.898602136789905,0.0674334221348308,47.7183060347587,1
7.14,0.899276134665623,0.0673656478233997,47.6392058745344,1
7.15,0.899949400634707,0.0672870504370579,47.5609976393373,1
7.16,0.900621827204655,0.067197777591677,47.4836888115473,1
7.17,0.901293308361694,0.0670979774159467,47.4072865753241,1
7.18,0.901963739575714,0.0669877985119027,47.3317978188195,1
7.19,0.902633017804807,0.0668673899158503,47.257229136409,1
7.2,0.903301041499411,0.0667369010596879,47.1835868309672,1
7.21,0.903967710606078,0.066596481732636,47.1108769161874,1
7.22,0.904632926570857,0.0664462820433711,47.0391051189203,1
7.23,0.905296592342302,0.0662864523825714,46.9682768815556,1
7.24,0.905958612374105,0.0661171433858753,46.8983973644352,1
7.25,0.906618892627365,0.0659385058972567,46.8294714483042,1
7.26,0.907277340572485,0.06575069093282,46.7615037367798,1
7.27,0.907933865190721,0.0655538496450156,46.6944985588611,1
7.28,0.908588376975363,0.0653481332872817,46.6284599714634,1
7.29,0.909240787932573,0.0651336931791122,46.5633917619842,1
7.3,0.909891011581873,0.0649106806715542,46.4992974508927,1
7.31,0.910538962956288,0.0646792471131374,46.4361802943481,1
7.32,0.911184558602153,0.0644395438162363,46.3740432868379,1
7.33,0.911827716578589,0.0641917220238691,46.3128891638549,1
7.34,0.912468356456638,0.0639359328769338,46.2527204045794,1
7.35,0.913106399318089,0.0636723273818829,46.1935392345986,1
7.36,0.913741767753967,0.0634010563788396,46.1353476286365,1
7.37,0.914374385862715,0.0631222705101558,46.0781473133162,1
7.38,0.915004179248061,0.0628361201894145,46.0219397699358,1
7.39,0.915631075016577,0.0625427555708761,45.9667262372616,1
7.4,0.916255001774938,0.0622423265193714,45.9125077143409,1
7.41,0.916875889626874,0.0619349825806416,45.8592849633419,1
7.42,0.917493670169836,0.061620872952126,45.8070585123919,1
7.43,0.91810827649137,0.0613001464541988,45.7558286584503,1
7.44,0.918719643165202,0.0609729515018551,45.7055954701799,1
7.45,0.919327706247047,0.0606394360768471,45.6563587908469,1
7.46,0.919932403270139,0.0602997477002705,45.6081182412229,1
7.47,0.920533673240487,0.0599540334056022,45.5608732225045,1
7.48,0.921131456631871,0.0596024397121892,45.5146229192499,1
7.49,0.921725695380563,0.0592451125991878,45.4693663023077,1
7.5,0.922316332879807,0.0588821974799556,45.4251021317836,1
7.51,0.922903313974024,0.0585138391768936,45.3818289599904,1
7.52,0.923486584952787,0.0581401818967404,45.3395451344237,1
7.53,0.92406609354454,0.0577613692063159,45.2982488007316,1
7.54,0.924641788910079,0.0573775440087176,45.2579379057115,1
7.55,0.925213621635799,0.0569888485199652,45.2186102002865,1
7.56,0.925781543726709,0.0565954242460959,45.1802632425128,1
7.57,0.926345508599218,0.0561974119607079,45.1428944005723,1
7.58,0.926905471073701,0.0557949516829531,45.1065008557839,1
7.59,0.927461387366848,0.0553881826559761,45.0710796056061,1
7.6,0.928013215083798,0.0549772433258008,45.0366274666502,1
7.61,0.928560913210061,0.054562271320662,45.0031410776939,1
7.62,0.929104442103246,0.0541434034307818,44.9706169026957,1
7.63,0.929643763484572,0.0537207755885885,44.9390512338028,1
7.64,0.930178840430202,0.0532945228493792,44.9084401943761,1
7.65,0.930709637362374,0.0528647793724218,44.8787797419924,1
7.66,0.931236120040346,0.0524316784024966,44.8500656714645,1
7.67,0.931758255551163,0.0519953522518766,44.8222936178489,1
7.68,0.932276012300246,0.0515559322827434,44.7954590594512,1
7.69,0.932789360001802,0.0511135488900375,44.769557320828,1
7.7,0.933298269669067,0.0506683314847427,44.7445835757929,1
7.71,0.93380271360439,0.0502204084776007,44.720532850406,1
7.72,0.934302665389146,0.0497699072632555,44.697400025966,1
7.73,0.9347980998735,0.049316954204825,44.6751798419916,1
7.74,0.935288993166016,0.0488616746188983,44.6538668992033,1
7.75,0.935775322623121,0.0484041927609555,44.6334556624882,1
7.76,0.93625706683842,0.04794463181121,44.6139404638692,1
7.77,0.936734205631875,0.047483113860869,44.5953155054554,1
7.78,0.93720672003885,0.04701975989881,44.5775748623857,1
7.79,0.937674592299021,0.0465546897986732,44.5607124857732,1
7.8,0.938137805845163,0.0460880223063647,44.5447222056269,1
7.81,0.93859634529181,0.04561987502797,44.5295977337685,1
7.82,0.939050196423801,0.0451503644180734,44.5153326667394,1
7.83,0.939499346184705,0.0446796057684834,44.5019204886955,1
7.84,0.939943782665142,0.0442077131973579,44.4893545742878,1
7.85,0.940383495090993,0.0437347996387305,44.4776281915363,1
7.86,0.940818473811507,0.043260976832432,44.4667345046842,1
7.87,0.941248710287312,0.042786355314405,44.4566665770439,1
7.88,0.941674197078329,0.0423110444074109,44.4474173738285,1
7.89,0.942094927831596,0.0418351522121227,44.4389797649643,1
7.9,0.942510897269004,0.0413587855986041,44.4313465278977,1
7.91,0.942922101174949,0.0408820501981697,44.4245103503764,1
7.92,0.943328536383907,0.0404050503956246,44.4184638332278,1
7.93,0.943730200767934,0.0399278893218786,44.4131994931051,1
7.94,0.944127093224087,0.0394506688469344,44.4087097652332,1
7.95,0.944519213661785,0.0389734895732443,44.4049870061301,1
7.96,0.944906562990102,0.0384964508294332,44.402023496308,1
7.97,0.945289143104996,0.0380196506643849,44.3998114429654,1
7.98,0.94566695687649,0.0375431858416872,44.3983429826539,1
7.99,0.946040008135785,0.0370671518344343,44.3976101839285,1
8,0.946408301662337,0.0365916428203814,44.3976050499855,1
8.01,0.946771843170878,0.0361167516774492,44.3983195212739,1
8.02,0.947130639298399,0.0356425699795741,44.3997454780844,1
8.03,0.947484697591089,0.0351691879929015,44.4018747431357,1
8.04,0.947834026491239,0.0346966946723174,44.4046990841185,1
8.05,0.948178635324117,0.0342251776583162,44.4082102162348,1
8.06,0.948518534284808,0.0337547232742006,44.4123998047163,1
8.07,0.948853734425029,0.0332854165236088,44.4172594673094,1
8.08,0.949184247639922,0.0328173410883679,44.4227807767544,1
8.09,0.949510086654829,0.0323505793266672,44.4289552632309,1
8.1,0.949831265012043,0.0318852122715496,44.4357744167917,1
8.11,0.950147797057556,0.0314213196297163,44.4432296897651,1
8.12,0.950459697927788,0.0309589797806421,44.4513124991437,1
8.13,0.950766983536312,0.0304982697759959,44.4600142289444,1
8.14,0.951069670560576,0.030039265339365,44.4693262325494,1
8.15,0.951367776428619,0.0295820408662774,44.4792398350236,1
